RightHand,LeftHand,LeftShoulder,RightShoulder,RightArm,LeftArm,LeftFoot,RightFoot,LeftLeg,RightLeg,LeftUpLeg,RightUpLeg,Head,Neck,Hips,Spine,Spine2
"(98, 105, 0)","(261, 210, 0)","(240, 132, 0)","(156, 128, 0)","(111, 149, 0)","(267, 171, 0)","(224, 319, 0)","(175, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 220, 0)","(175, 219, 0)","(196, 90, 0)","(198.0, 130.0, 0.0)","(198.5, 219.5, 0.0)","(198.5, 219.5, 0.0)","(198.25, 174.75, 0.0)"
"(94, 105, 0)","(261, 210, 0)","(240, 132, 0)","(157, 128, 0)","(111, 149, 0)","(267, 171, 0)","(224, 319, 0)","(175, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 220, 0)","(175, 219, 0)","(197, 90, 0)","(198.5, 130.0, 0.0)","(198.5, 219.5, 0.0)","(198.5, 219.5, 0.0)","(198.5, 174.75, 0.0)"
"(94, 106, 0)","(261, 210, 0)","(240, 132, 0)","(157, 128, 0)","(112, 150, 0)","(267, 171, 0)","(224, 319, 0)","(174, 320, 0)","(222, 270, 0)","(174, 271, 0)","(222, 220, 0)","(175, 220, 0)","(197, 90, 0)","(198.5, 130.0, 0.0)","(198.5, 220.0, 0.0)","(198.5, 220.0, 0.0)","(198.5, 175.0, 0.0)"
"(97, 106, 0)","(261, 210, 0)","(240, 132, 0)","(157, 128, 0)","(111, 150, 0)","(268, 171, 0)","(224, 319, 0)","(174, 320, 0)","(223, 270, 0)","(174, 271, 0)","(222, 220, 0)","(176, 220, 0)","(197, 90, 0)","(198.5, 130.0, 0.0)","(199.0, 220.0, 0.0)","(199.0, 220.0, 0.0)","(198.75, 175.0, 0.0)"
"(102, 105, 0)","(261, 210, 0)","(240, 132, 0)","(156, 128, 0)","(111, 150, 0)","(268, 171, 0)","(224, 319, 0)","(174, 320, 0)","(223, 270, 0)","(174, 271, 0)","(222, 220, 0)","(176, 220, 0)","(197, 90, 0)","(198.0, 130.0, 0.0)","(199.0, 220.0, 0.0)","(199.0, 220.0, 0.0)","(198.5, 175.0, 0.0)"
"(112, 106, 0)","(261, 210, 0)","(240, 132, 0)","(155, 128, 0)","(108, 151, 0)","(268, 171, 0)","(224, 319, 0)","(174, 320, 0)","(223, 269, 0)","(174, 271, 0)","(222, 220, 0)","(176, 220, 0)","(197, 90, 0)","(197.5, 130.0, 0.0)","(199.0, 220.0, 0.0)","(199.0, 220.0, 0.0)","(198.25, 175.0, 0.0)"
"(122, 111, 0)","(261, 210, 0)","(240, 132, 0)","(155, 129, 0)","(105, 152, 0)","(268, 171, 0)","(224, 319, 0)","(174, 320, 0)","(223, 269, 0)","(174, 271, 0)","(222, 220, 0)","(176, 220, 0)","(197, 90, 0)","(197.5, 130.5, 0.0)","(199.0, 220.0, 0.0)","(199.0, 220.0, 0.0)","(198.25, 175.25, 0.0)"
"(127, 113, 0)","(261, 210, 0)","(240, 132, 0)","(155, 129, 0)","(101, 152, 0)","(268, 171, 0)","(224, 319, 0)","(174, 320, 0)","(223, 269, 0)","(174, 271, 0)","(222, 221, 0)","(175, 220, 0)","(197, 90, 0)","(197.5, 130.5, 0.0)","(198.5, 220.5, 0.0)","(198.5, 220.5, 0.0)","(198.0, 175.5, 0.0)"
"(128, 115, 0)","(261, 210, 0)","(240, 132, 0)","(155, 130, 0)","(100, 152, 0)","(267, 171, 0)","(224, 318, 0)","(174, 320, 0)","(223, 269, 0)","(174, 271, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(197.5, 131.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.0, 176.0, 0.0)"
"(127, 114, 0)","(261, 210, 0)","(240, 132, 0)","(155, 130, 0)","(100, 153, 0)","(267, 171, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 271, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(197.5, 131.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.0, 176.0, 0.0)"
"(125, 114, 0)","(261, 210, 0)","(240, 132, 0)","(155, 130, 0)","(101, 153, 0)","(267, 170, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 271, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(197.5, 131.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.0, 176.0, 0.0)"
"(117, 113, 0)","(261, 210, 0)","(240, 132, 0)","(155, 130, 0)","(104, 153, 0)","(267, 170, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(197.5, 131.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.0, 176.0, 0.0)"
"(103, 112, 0)","(261, 210, 0)","(240, 132, 0)","(155, 130, 0)","(107, 153, 0)","(267, 170, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(197.5, 131.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.0, 176.0, 0.0)"
"(97, 111, 0)","(260, 210, 0)","(240, 132, 0)","(155, 130, 0)","(110, 153, 0)","(267, 170, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(197.5, 131.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.0, 176.0, 0.0)"
"(92, 110, 0)","(260, 210, 0)","(240, 132, 0)","(156, 129, 0)","(110, 153, 0)","(268, 170, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(198.0, 130.5, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.25, 175.75, 0.0)"
"(91, 110, 0)","(260, 210, 0)","(240, 132, 0)","(156, 129, 0)","(111, 153, 0)","(268, 170, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(198.0, 130.5, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.25, 175.75, 0.0)"
"(93, 110, 0)","(260, 210, 0)","(240, 132, 0)","(156, 129, 0)","(111, 153, 0)","(267, 170, 0)","(223, 318, 0)","(174, 320, 0)","(222, 269, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 89, 0)","(198.0, 130.5, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.25, 175.75, 0.0)"
"(96, 110, 0)","(260, 210, 0)","(240, 131, 0)","(156, 129, 0)","(110, 153, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 268, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(198.0, 130.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.25, 175.5, 0.0)"
"(106, 110, 0)","(260, 210, 0)","(240, 131, 0)","(155, 129, 0)","(110, 153, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 268, 0)","(174, 269, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(197.5, 130.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(198.0, 175.5, 0.0)"
"(114, 110, 0)","(260, 210, 0)","(239, 131, 0)","(154, 129, 0)","(107, 153, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 268, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(196.5, 130.0, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(197.5, 175.5, 0.0)"
"(122, 112, 0)","(260, 210, 0)","(239, 131, 0)","(154, 130, 0)","(105, 154, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 268, 0)","(174, 270, 0)","(222, 221, 0)","(175, 221, 0)","(197, 90, 0)","(196.5, 130.5, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(197.5, 175.75, 0.0)"
"(126, 113, 0)","(260, 210, 0)","(239, 131, 0)","(154, 130, 0)","(103, 154, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 268, 0)","(173, 270, 0)","(222, 221, 0)","(175, 221, 0)","(196, 90, 0)","(196.5, 130.5, 0.0)","(198.5, 221.0, 0.0)","(198.5, 221.0, 0.0)","(197.5, 175.75, 0.0)"
"(127, 114, 0)","(260, 210, 0)","(239, 131, 0)","(154, 130, 0)","(102, 154, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 268, 0)","(173, 270, 0)","(222, 221, 0)","(174, 221, 0)","(196, 90, 0)","(196.5, 130.5, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(197.25, 175.75, 0.0)"
"(124, 114, 0)","(260, 210, 0)","(239, 131, 0)","(154, 130, 0)","(103, 154, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 268, 0)","(173, 270, 0)","(221, 221, 0)","(174, 221, 0)","(196, 90, 0)","(196.5, 130.5, 0.0)","(197.5, 221.0, 0.0)","(197.5, 221.0, 0.0)","(197.0, 175.75, 0.0)"
"(123, 112, 0)","(260, 209, 0)","(239, 131, 0)","(155, 130, 0)","(107, 154, 0)","(267, 170, 0)","(223, 318, 0)","(173, 320, 0)","(222, 269, 0)","(173, 270, 0)","(221, 221, 0)","(174, 221, 0)","(196, 90, 0)","(197.0, 130.5, 0.0)","(197.5, 221.0, 0.0)","(197.5, 221.0, 0.0)","(197.25, 175.75, 0.0)"
"(113, 112, 0)","(260, 209, 0)","(239, 131, 0)","(155, 130, 0)","(110, 154, 0)","(267, 169, 0)","(223, 318, 0)","(173, 320, 0)","(222, 269, 0)","(173, 270, 0)","(221, 221, 0)","(175, 221, 0)","(196, 90, 0)","(197.0, 130.5, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(197.5, 175.75, 0.0)"
"(102, 112, 0)","(260, 209, 0)","(239, 131, 0)","(155, 129, 0)","(111, 154, 0)","(267, 169, 0)","(223, 318, 0)","(173, 320, 0)","(222, 269, 0)","(173, 270, 0)","(221, 221, 0)","(175, 221, 0)","(196, 90, 0)","(197.0, 130.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(197.5, 175.5, 0.0)"
"(95, 111, 0)","(260, 209, 0)","(239, 131, 0)","(156, 129, 0)","(112, 154, 0)","(267, 169, 0)","(223, 318, 0)","(173, 320, 0)","(222, 269, 0)","(173, 270, 0)","(221, 221, 0)","(175, 221, 0)","(196, 89, 0)","(197.5, 130.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(197.75, 175.5, 0.0)"
"(92, 112, 0)","(260, 209, 0)","(239, 131, 0)","(156, 129, 0)","(113, 154, 0)","(267, 169, 0)","(223, 318, 0)","(173, 320, 0)","(222, 270, 0)","(173, 271, 0)","(221, 221, 0)","(175, 221, 0)","(196, 89, 0)","(197.5, 130.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(197.75, 175.5, 0.0)"
"(93, 112, 0)","(260, 209, 0)","(239, 131, 0)","(157, 129, 0)","(114, 154, 0)","(267, 169, 0)","(222, 318, 0)","(173, 320, 0)","(222, 270, 0)","(173, 271, 0)","(221, 221, 0)","(175, 221, 0)","(196, 89, 0)","(198.0, 130.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 175.5, 0.0)"
"(96, 113, 0)","(260, 209, 0)","(239, 131, 0)","(157, 129, 0)","(114, 155, 0)","(267, 169, 0)","(222, 318, 0)","(173, 320, 0)","(222, 270, 0)","(173, 271, 0)","(221, 221, 0)","(175, 221, 0)","(196, 89, 0)","(198.0, 130.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 175.5, 0.0)"
"(99, 114, 0)","(260, 209, 0)","(239, 131, 0)","(156, 129, 0)","(114, 156, 0)","(266, 169, 0)","(222, 318, 0)","(173, 320, 0)","(222, 270, 0)","(173, 271, 0)","(221, 221, 0)","(175, 221, 0)","(196, 89, 0)","(197.5, 130.0, 0.0)","(198.0, 221.0, 0.0)","(198.0, 221.0, 0.0)","(197.75, 175.5, 0.0)"
"(110, 113, 0)","(260, 209, 0)","(239, 131, 0)","(156, 129, 0)","(114, 156, 0)","(266, 168, 0)","(222, 318, 0)","(173, 320, 0)","(222, 270, 0)","(173, 271, 0)","(221, 221, 0)","(175, 220, 0)","(196, 89, 0)","(197.5, 130.0, 0.0)","(198.0, 220.5, 0.0)","(198.0, 220.5, 0.0)","(197.75, 175.25, 0.0)"
"(120, 114, 0)","(260, 209, 0)","(239, 131, 0)","(156, 129, 0)","(113, 156, 0)","(266, 168, 0)","(222, 318, 0)","(173, 320, 0)","(221, 270, 0)","(172, 271, 0)","(221, 221, 0)","(174, 220, 0)","(195, 89, 0)","(197.5, 130.0, 0.0)","(197.5, 220.5, 0.0)","(197.5, 220.5, 0.0)","(197.5, 175.25, 0.0)"
"(125, 115, 0)","(260, 209, 0)","(239, 131, 0)","(156, 130, 0)","(109, 157, 0)","(266, 168, 0)","(222, 318, 0)","(173, 320, 0)","(221, 268, 0)","(172, 271, 0)","(221, 221, 0)","(174, 220, 0)","(195, 89, 0)","(197.5, 130.5, 0.0)","(197.5, 220.5, 0.0)","(197.5, 220.5, 0.0)","(197.5, 175.5, 0.0)"
"(127, 116, 0)","(260, 209, 0)","(239, 131, 0)","(156, 130, 0)","(107, 157, 0)","(266, 168, 0)","(222, 318, 0)","(172, 320, 0)","(221, 268, 0)","(172, 271, 0)","(221, 221, 0)","(174, 220, 0)","(195, 89, 0)","(197.5, 130.5, 0.0)","(197.5, 220.5, 0.0)","(197.5, 220.5, 0.0)","(197.5, 175.5, 0.0)"
"(127, 116, 0)","(260, 209, 0)","(239, 131, 0)","(156, 130, 0)","(107, 157, 0)","(266, 168, 0)","(222, 318, 0)","(172, 320, 0)","(221, 268, 0)","(172, 271, 0)","(221, 221, 0)","(174, 219, 0)","(195, 89, 0)","(197.5, 130.5, 0.0)","(197.5, 220.0, 0.0)","(197.5, 220.0, 0.0)","(197.5, 175.25, 0.0)"
"(124, 116, 0)","(259, 209, 0)","(238, 131, 0)","(156, 130, 0)","(107, 156, 0)","(266, 168, 0)","(222, 318, 0)","(172, 320, 0)","(220, 268, 0)","(172, 270, 0)","(221, 220, 0)","(174, 219, 0)","(195, 89, 0)","(197.0, 130.5, 0.0)","(197.5, 219.5, 0.0)","(197.5, 219.5, 0.0)","(197.25, 175.0, 0.0)"
