Spine,LeftUpLeg,RightUpLeg,Spine2,Neck,RightArm,RightShoulder,LeftArm,LeftShoulder,RightLeg,LeftLeg
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2457)","(180.0, 180.0, nan)","(180.0, 180.0, 179.1855)","(0.0, 0.0, 59.8739)","(0.0, 180.0, 112.1245)","(180.0, 0.0, 137.6066)","(0.0, 180.0, 79.6591)","(180.0, 0.0, 175.5085)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2457)","(180.0, 180.0, nan)","(180.0, 180.0, 179.1855)","(0.0, 0.0, 59.8739)","(0.0, 180.0, 112.1245)","(180.0, 0.0, 137.6066)","(0.0, 180.0, 79.6591)","(180.0, 0.0, 175.5085)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 92.2457)","(180.0, 180.0, nan)","(180.0, 180.0, 179.1855)","(0.0, 0.0, 59.8739)","(0.0, 180.0, 112.1245)","(180.0, 0.0, 136.1198)","(0.0, 180.0, 79.6591)","(180.0, 0.0, 176.631)","(180.0, nan, 176.6335)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2457)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.5087)","(0.0, 0.0, 58.3342)","(0.0, 180.0, 111.3524)","(180.0, 0.0, 136.1198)","(0.0, 180.0, 79.8362)","(180.0, 0.0, 176.631)","(180.0, 180.0, 177.8673)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2457)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.5087)","(0.0, 0.0, 59.1172)","(0.0, 180.0, 112.3618)","(180.0, 0.0, 136.1198)","(0.0, 180.0, 79.8362)","(180.0, 0.0, 176.631)","(180.0, 180.0, 177.8673)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2457)","(180.0, 180.0, nan)","(180.0, 180.0, 178.4605)","(0.0, 0.0, 58.7159)","(0.0, 180.0, 112.4498)","(180.0, 0.0, 136.1198)","(0.0, 180.0, 80.0123)","(180.0, 0.0, 176.631)","(180.0, 180.0, 177.8673)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2457)","(180.0, 180.0, nan)","(180.0, 180.0, 178.4605)","(0.0, 0.0, 58.7159)","(0.0, 180.0, 112.4498)","(180.0, 0.0, 135.5774)","(0.0, 180.0, 80.7448)","(180.0, 0.0, 176.631)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2457)","(180.0, 180.0, nan)","(180.0, nan, 177.4121)","(0.0, 0.0, 58.7159)","(0.0, 180.0, 112.2876)","(180.0, 0.0, 134.6055)","(0.0, 180.0, 81.1854)","(180.0, 0.0, 176.631)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, nan)","(180.0, nan, 177.4121)","(0.0, 0.0, 60.079)","(0.0, 180.0, 112.2876)","(180.0, 0.0, 134.6055)","(0.0, 180.0, 81.1854)","(180.0, nan, 177.7974)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 93.3019)","(180.0, 180.0, nan)","(180.0, nan, 177.4121)","(0.0, 0.0, 60.079)","(0.0, 180.0, 112.2876)","(180.0, 0.0, 134.6055)","(0.0, 180.0, 81.1854)","(180.0, 0.0, 175.5524)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 93.3019)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.8954)","(0.0, 0.0, 60.079)","(0.0, 180.0, 112.4445)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 80.6886)","(180.0, 0.0, 175.5524)","(180.0, nan, 176.6335)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 60.079)","(0.0, 180.0, 112.1174)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 81.0434)","(180.0, 0.0, 176.6516)","(180.0, 180.0, 177.7793)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 59.1172)","(0.0, 180.0, 112.5186)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 81.0434)","(180.0, 0.0, 176.6516)","(180.0, 180.0, 177.7793)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 59.1172)","(0.0, 180.0, 112.5186)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 81.0434)","(180.0, 0.0, 176.6516)","(180.0, 180.0, 177.7793)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.4825)","(0.0, 0.0, 59.1172)","(0.0, 180.0, 112.3537)","(180.0, 0.0, 134.0115)","(0.0, 180.0, 81.4564)","(180.0, 0.0, 176.6516)","(180.0, 180.0, 177.7793)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.4825)","(0.0, 0.0, 60.4803)","(0.0, 180.0, 112.3537)","(180.0, 0.0, 132.6388)","(0.0, 180.0, 81.4564)","(180.0, 0.0, 176.6516)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.4825)","(0.0, 0.0, 58.7363)","(0.0, 180.0, 111.7463)","(180.0, 0.0, 134.9583)","(0.0, 180.0, 80.5096)","(180.0, 0.0, 176.6516)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, 180.0, 92.2906)","(nan, 180.0, 91.1017)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1255)","(0.0, 0.0, 58.7363)","(0.0, 180.0, 111.4137)","(180.0, 0.0, 135.5256)","(0.0, 180.0, 80.127)","(180.0, nan, 178.8983)","(180.0, 180.0, 179.9551)"
"(nan, nan, nan)","(nan, 180.0, 92.2906)","(nan, 180.0, 91.1017)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 58.3342)","(0.0, 180.0, 111.5092)","(180.0, 0.0, 135.5256)","(0.0, 180.0, 80.3039)","(180.0, nan, 178.8983)","(180.0, 180.0, 179.9551)"
"(nan, nan, nan)","(nan, 180.0, 92.2906)","(nan, 180.0, 91.0809)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 58.3342)","(0.0, 180.0, 111.5092)","(180.0, 0.0, 135.3449)","(0.0, 180.0, 80.3039)","(180.0, nan, 178.9191)","(180.0, 180.0, 179.9551)"
"(nan, nan, nan)","(nan, 180.0, 92.2906)","(nan, 180.0, 92.1611)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 59.1172)","(0.0, 180.0, 112.5186)","(180.0, 0.0, 133.9045)","(0.0, 180.0, 80.3039)","(180.0, 0.0, 176.6454)","(180.0, 180.0, 179.9551)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.1611)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 59.1172)","(0.0, 180.0, 112.5186)","(180.0, 0.0, 133.9045)","(0.0, 180.0, 80.3039)","(180.0, 0.0, 176.6454)","(180.0, 180.0, 178.8552)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.1611)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 59.1172)","(0.0, 180.0, 112.5186)","(180.0, 0.0, 136.3099)","(0.0, 180.0, 79.3389)","(180.0, 0.0, 176.6454)","(180.0, 180.0, 178.8552)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.1611)","(180.0, 180.0, nan)","(180.0, 180.0, 179.5382)","(0.0, 0.0, 59.3436)","(0.0, 180.0, 112.5186)","(180.0, 0.0, 136.3099)","(0.0, 180.0, 79.3389)","(180.0, 0.0, 176.6454)","(180.0, 180.0, 178.8552)"
"(nan, nan, nan)","(180.0, 180.0, 92.3646)","(0.0, 180.0, 89.842)","(180.0, 180.0, nan)","(180.0, 180.0, 179.8507)","(0.0, 0.0, 59.3436)","(0.0, 180.0, 112.5113)","(180.0, 0.0, 136.3099)","(0.0, 180.0, 79.6796)","(180.0, 0.0, 177.7456)","(180.0, 180.0, 178.8552)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 89.862)","(180.0, 180.0, nan)","(180.0, 180.0, 179.814)","(0.0, 0.0, 59.3436)","(0.0, 180.0, 112.5113)","(180.0, 0.0, 136.3099)","(0.0, 180.0, 79.6796)","(180.0, 0.0, 177.7499)","(180.0, 180.0, 178.9234)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 89.862)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.7747)","(0.0, 0.0, 58.9424)","(0.0, 180.0, 112.6023)","(180.0, 0.0, 136.3099)","(0.0, 180.0, 79.8546)","(180.0, 0.0, 177.7499)","(180.0, 180.0, 178.9234)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 89.862)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.7747)","(0.0, 0.0, 58.9424)","(0.0, 180.0, 112.6023)","(180.0, 0.0, 136.3099)","(0.0, 180.0, 79.8546)","(180.0, 0.0, 177.7499)","(180.0, 180.0, 178.9234)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 89.862)","(180.0, 180.0, nan)","(180.0, nan, 177.7352)","(0.0, 0.0, 58.9424)","(0.0, 180.0, 112.4391)","(180.0, 0.0, 135.3449)","(0.0, 180.0, 80.2917)","(180.0, 0.0, 177.7499)","(180.0, 180.0, 178.9234)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 89.862)","(180.0, 180.0, nan)","(180.0, nan, 177.7352)","(0.0, 0.0, 60.2746)","(0.0, 180.0, 112.4391)","(180.0, 0.0, 135.3449)","(0.0, 180.0, 80.2917)","(180.0, 0.0, 177.7499)","(180.0, nan, 176.6335)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 89.862)","(180.0, 180.0, nan)","(180.0, nan, 177.7352)","(0.0, 0.0, 60.2746)","(0.0, 180.0, 112.4391)","(180.0, 0.0, 133.9045)","(0.0, 180.0, 80.2917)","(180.0, 0.0, 177.7499)","(180.0, nan, 176.4965)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 89.862)","(180.0, 180.0, nan)","(180.0, nan, 177.7352)","(0.0, 0.0, 60.2746)","(0.0, 180.0, 112.4391)","(180.0, 0.0, 133.9045)","(0.0, 180.0, 80.2917)","(180.0, 0.0, 177.7499)","(180.0, nan, 176.4965)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 89.862)","(180.0, 180.0, 180.0)","(180.0, nan, 177.748)","(0.0, 0.0, 61.4517)","(0.0, 180.0, 111.9686)","(180.0, 0.0, 133.9045)","(0.0, 180.0, 80.4574)","(180.0, 0.0, 177.7499)","(180.0, nan, 177.6627)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9422)","(180.0, 180.0, nan)","(180.0, 180.0, 178.7946)","(0.0, 0.0, 61.4517)","(0.0, 180.0, 112.1317)","(180.0, 0.0, 134.8695)","(0.0, 180.0, 80.0204)","(180.0, 0.0, 175.5016)","(180.0, nan, 177.6627)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9422)","(180.0, 180.0, nan)","(180.0, 180.0, 178.7946)","(0.0, 0.0, 60.2746)","(0.0, 180.0, 112.1317)","(180.0, 0.0, 135.0849)","(0.0, 180.0, 80.0204)","(180.0, 0.0, 175.5016)","(180.0, nan, 177.6627)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9422)","(180.0, 180.0, nan)","(180.0, 180.0, 178.7946)","(0.0, 0.0, 54.4566)","(0.0, 180.0, 112.5329)","(180.0, 0.0, 135.0849)","(0.0, 180.0, 80.0204)","(180.0, 0.0, 175.5016)","(180.0, nan, 177.6627)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9422)","(180.0, 180.0, nan)","(180.0, 180.0, 179.7558)","(0.0, 0.0, 44.4651)","(0.0, 180.0, 113.6554)","(180.0, 0.0, 135.0849)","(0.0, 180.0, 80.0204)","(180.0, 0.0, 175.5016)","(180.0, nan, 177.6627)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9422)","(180.0, 180.0, nan)","(180.0, 180.0, 179.7558)","(0.0, 0.0, 37.6362)","(0.0, 180.0, 113.7439)","(180.0, 0.0, 135.0849)","(0.0, 180.0, 80.0204)","(180.0, 0.0, 176.6698)","(180.0, nan, 177.6627)"
"(nan, nan, nan)","(180.0, 180.0, 92.3646)","(0.0, 180.0, 89.862)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1126)","(0.0, 0.0, 33.0966)","(0.0, 180.0, 114.0652)","(180.0, 0.0, 135.5774)","(0.0, 180.0, 79.6594)","(180.0, 0.0, 177.7499)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(180.0, 180.0, 92.3646)","(0.0, 180.0, 89.862)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1126)","(0.0, 0.0, 33.0966)","(0.0, 180.0, 114.0652)","(180.0, 0.0, 135.5774)","(0.0, 180.0, 79.6594)","(180.0, 0.0, 177.7256)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(180.0, 180.0, 92.3646)","(0.0, 180.0, 89.862)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1662)","(0.0, 0.0, 34.6698)","(0.0, 180.0, 113.7462)","(180.0, 0.0, 135.5774)","(0.0, 180.0, 79.6594)","(180.0, 0.0, 177.7256)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(180.0, 180.0, 92.3646)","(0.0, 180.0, 89.8828)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1662)","(0.0, 0.0, 41.6796)","(0.0, 180.0, 112.7256)","(180.0, 0.0, 135.5774)","(0.0, 180.0, 79.6594)","(180.0, 0.0, 177.7292)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 89.8828)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1662)","(0.0, 0.0, 53.6004)","(0.0, 180.0, 112.5932)","(180.0, 0.0, 135.5774)","(0.0, 180.0, 79.6594)","(180.0, 0.0, 177.7292)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 89.9044)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.5511)","(0.0, 180.0, 70.5913)","(0.0, 180.0, 110.8915)","(180.0, 0.0, 135.5774)","(0.0, 180.0, 79.4865)","(180.0, 0.0, 177.7309)","(180.0, nan, 177.7094)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 89.9044)","(180.0, 180.0, nan)","(180.0, 180.0, 177.4577)","(0.0, 180.0, 81.4431)","(0.0, 180.0, 107.0886)","(180.0, 0.0, 136.5587)","(0.0, 180.0, 79.0171)","(180.0, 0.0, 177.7309)","(180.0, nan, 177.7094)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 89.9044)","(180.0, nan, 180.0)","(180.0, nan, 177.8524)","(0.0, 180.0, 86.587)","(0.0, 180.0, 107.0578)","(180.0, 0.0, 136.5587)","(0.0, 180.0, 78.8451)","(180.0, 0.0, 177.7309)","(180.0, nan, 177.7094)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1233)","(180.0, nan, 180.0)","(180.0, nan, 177.8524)","(0.0, 180.0, 86.1955)","(0.0, 180.0, 105.3903)","(180.0, 0.0, 136.5587)","(0.0, 180.0, 78.6782)","(180.0, nan, 178.8767)","(180.0, nan, 177.6627)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2457)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.1707)","(0.0, 180.0, 82.0902)","(0.0, 180.0, 106.0547)","(180.0, 0.0, 134.1481)","(0.0, 180.0, 79.4865)","(180.0, nan, 177.7543)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2457)","(180.0, 180.0, nan)","(180.0, 180.0, 179.2045)","(0.0, 180.0, 75.2564)","(0.0, 180.0, 106.0681)","(180.0, 0.0, 134.1481)","(0.0, 180.0, 79.6594)","(180.0, nan, 177.7543)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2457)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.7613)","(0.0, 0.0, 58.845)","(0.0, 180.0, 106.5453)","(180.0, 0.0, 134.1481)","(0.0, 180.0, 79.8314)","(180.0, nan, 177.7543)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2457)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.7471)","(0.0, 0.0, 42.777)","(0.0, 180.0, 108.3778)","(180.0, 0.0, 134.1481)","(0.0, 180.0, 79.6654)","(180.0, nan, 177.7543)","(180.0, 180.0, 179.9766)"
"(nan, nan, nan)","(180.0, 180.0, 92.4124)","(0.0, 180.0, 89.9044)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9293)","(0.0, 0.0, 33.2395)","(0.0, 180.0, 109.6901)","(180.0, 0.0, 134.1481)","(0.0, 180.0, 79.6713)","(180.0, nan, 178.8767)","(180.0, 180.0, 179.9523)"
"(nan, nan, nan)","(nan, 180.0, 91.1935)","(nan, 180.0, 91.1458)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9379)","(0.0, 0.0, 31.0817)","(0.0, 180.0, 111.268)","(180.0, 0.0, 136.5587)","(0.0, 180.0, 78.3629)","(180.0, nan, 178.8542)","(180.0, 180.0, 179.9756)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1458)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9379)","(0.0, 0.0, 32.6111)","(0.0, 180.0, 110.3756)","(180.0, 0.0, 136.5587)","(0.0, 180.0, 78.3629)","(180.0, nan, 178.8542)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1458)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9379)","(0.0, 0.0, 35.3221)","(0.0, 180.0, 109.999)","(180.0, 0.0, 136.0744)","(0.0, 180.0, 79.0626)","(180.0, nan, 178.8542)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9379)","(0.0, 0.0, 47.7214)","(0.0, 180.0, 108.795)","(180.0, 0.0, 136.0744)","(0.0, 180.0, 79.0626)","(180.0, nan, 178.8309)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9379)","(0.0, 180.0, 69.97)","(0.0, 180.0, 107.4672)","(180.0, 0.0, 136.0744)","(0.0, 180.0, 79.0626)","(180.0, nan, 178.8309)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9379)","(0.0, 180.0, 80.1265)","(0.0, 180.0, 105.9973)","(180.0, 0.0, 134.679)","(0.0, 180.0, 79.0626)","(180.0, nan, 178.8309)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.9021)","(0.0, 180.0, 85.1616)","(0.0, 180.0, 104.5527)","(180.0, 0.0, 132.3057)","(0.0, 180.0, 80.0443)","(180.0, nan, 178.8309)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.9021)","(0.0, 180.0, 86.8714)","(0.0, 180.0, 104.033)","(180.0, 0.0, 132.3057)","(0.0, 180.0, 80.0443)","(180.0, nan, 178.8309)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.9362)","(0.0, 180.0, 84.6419)","(0.0, 180.0, 104.033)","(180.0, 0.0, 134.679)","(0.0, 180.0, 79.0548)","(180.0, nan, 178.8309)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.8827)","(0.0, 180.0, 80.4815)","(0.0, 180.0, 104.7055)","(180.0, 0.0, 135.3786)","(0.0, 180.0, 77.869)","(180.0, 180.0, 179.9766)","(180.0, nan, 178.8542)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1935)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.9134)","(0.0, 180.0, 67.2421)","(0.0, 180.0, 104.688)","(180.0, 0.0, 135.3786)","(0.0, 180.0, 78.0397)","(180.0, 180.0, 179.9298)","(180.0, nan, 178.8542)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, nan)","(180.0, 0.0, 178.0248)","(0.0, 0.0, 53.7033)","(0.0, 180.0, 106.0403)","(180.0, 0.0, 134.3973)","(0.0, 180.0, 78.6785)","(180.0, 180.0, 179.9766)","(180.0, nan, 178.8542)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 0.0, 178.0267)","(0.0, 0.0, 41.8683)","(0.0, 180.0, 107.4605)","(180.0, 0.0, 134.3973)","(0.0, 180.0, 78.5185)","(180.0, 180.0, 179.9766)","(180.0, nan, 178.8542)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 92.3373)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.4413)","(0.0, 0.0, 35.5075)","(0.0, 180.0, 108.3548)","(180.0, 0.0, 134.3973)","(0.0, 180.0, 78.5185)","(180.0, nan, 177.6627)","(180.0, nan, 178.8542)"
"(nan, nan, nan)","(nan, nan, 90.0)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.7578)","(0.0, 0.0, 33.2195)","(0.0, 180.0, 108.6159)","(180.0, 0.0, 134.3973)","(0.0, 180.0, 78.6901)","(180.0, nan, 178.8309)","(180.0, nan, 178.8542)"
"(nan, nan, nan)","(nan, 180.0, 91.2189)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.9258)","(0.0, 0.0, 37.0994)","(0.0, 180.0, 108.0241)","(180.0, 0.0, 134.3973)","(0.0, 180.0, 78.8607)","(180.0, nan, 178.8309)","(180.0, 180.0, 179.9269)"
"(nan, nan, nan)","(nan, 180.0, 91.1935)","(nan, 180.0, 91.1691)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.9021)","(0.0, 0.0, 42.5805)","(0.0, 180.0, 106.1573)","(180.0, 0.0, 134.1481)","(0.0, 180.0, 78.6901)","(180.0, nan, 178.8309)","(180.0, 180.0, 179.9756)"
"(nan, nan, nan)","(nan, 180.0, 91.1935)","(nan, 180.0, 92.3373)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.2187)","(0.0, 0.0, 57.8419)","(0.0, 180.0, 104.8184)","(180.0, 0.0, 133.6894)","(0.0, 180.0, 79.2264)","(180.0, nan, 177.6627)","(180.0, 180.0, 179.9756)"
"(nan, nan, nan)","(nan, 180.0, 91.1935)","(nan, 180.0, 92.3373)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1975)","(0.0, 180.0, 72.4903)","(0.0, 180.0, 102.8222)","(180.0, 0.0, 133.6894)","(0.0, 180.0, 79.3865)","(180.0, nan, 177.6627)","(180.0, 180.0, 179.9756)"
"(nan, nan, nan)","(nan, 180.0, 91.1935)","(nan, 180.0, 92.3373)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.2196)","(0.0, 180.0, 81.9669)","(0.0, 180.0, 102.3146)","(180.0, 0.0, 133.6894)","(0.0, 180.0, 79.2138)","(180.0, nan, 177.6627)","(180.0, 180.0, 179.9756)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2906)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.2196)","(0.0, 180.0, 86.3915)","(0.0, 180.0, 101.7455)","(180.0, 0.0, 133.6894)","(0.0, 180.0, 79.2138)","(180.0, nan, 177.7094)","(180.0, 180.0, 179.9756)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2906)","(180.0, nan, 180.0)","(180.0, nan, 177.2073)","(0.0, 180.0, 86.3915)","(0.0, 180.0, 101.2298)","(180.0, 0.0, 133.6894)","(0.0, 180.0, 79.0402)","(180.0, nan, 177.7094)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2906)","(180.0, nan, 180.0)","(180.0, nan, 177.2073)","(0.0, 180.0, 82.0393)","(0.0, 180.0, 100.244)","(180.0, 0.0, 133.6894)","(0.0, 180.0, 79.0402)","(180.0, nan, 177.7094)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(nan, 180.0, 91.1691)","(nan, 180.0, 92.2906)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.2196)","(0.0, 180.0, 76.9186)","(0.0, 180.0, 99.1838)","(180.0, 0.0, 136.0744)","(0.0, 180.0, 78.2243)","(180.0, nan, 177.7094)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(180.0, 180.0, 92.4145)","(0.0, 180.0, 91.0004)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.2213)","(0.0, 180.0, 62.5793)","(0.0, 180.0, 99.3374)","(180.0, 0.0, 135.555)","(0.0, 180.0, 79.1098)","(180.0, nan, 177.7543)","(180.0, nan, 178.8309)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 91.0269)","(180.0, nan, 180.0)","(180.0, nan, 176.5107)","(0.0, 0.0, 48.4127)","(0.0, 180.0, 99.7765)","(180.0, 0.0, 135.555)","(0.0, 180.0, 79.2825)","(180.0, 0.0, 176.5851)","(180.0, nan, 178.8065)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 91.0269)","(180.0, nan, 180.0)","(180.0, nan, 176.5526)","(0.0, 0.0, 39.2695)","(0.0, 180.0, 102.4916)","(180.0, 0.0, 135.555)","(0.0, 180.0, 79.1215)","(180.0, 0.0, 176.5851)","(180.0, nan, 178.8542)"
