Spine,LeftUpLeg,RightUpLeg,Spine2,Neck,RightArm,RightShoulder,LeftArm,LeftShoulder,RightLeg,LeftLeg
"(nan, nan, nan)","(0.0, 180.0, 91.1671)","(180.0, 180.0, 94.7224)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.448)","(180.0, 180.0, 147.3512)","(0.0, 180.0, 80.0281)","(180.0, 0.0, 137.9401)","(0.0, 180.0, 79.2368)","(180.0, 0.0, 170.7859)","(180.0, 180.0, 179.0841)"
"(nan, nan, nan)","(0.0, 180.0, 90.0254)","(180.0, 180.0, 94.697)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1269)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 137.9401)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 170.7859)","(180.0, 180.0, 179.0163)"
"(nan, nan, nan)","(0.0, 180.0, 90.0254)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1269)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 137.9401)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.9391)","(180.0, 180.0, 179.0163)"
"(nan, nan, nan)","(0.0, 180.0, 90.0254)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1269)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 137.9401)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.9391)","(180.0, 180.0, 179.0163)"
"(nan, nan, nan)","(0.0, 180.0, 90.0519)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1269)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 137.9401)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.9391)","(180.0, 180.0, 179.0843)"
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1269)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 137.9401)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8497)","(180.0, nan, 176.7603)"
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1269)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 137.9401)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8497)","(180.0, nan, 176.7603)"
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1269)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 136.5528)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8497)","(180.0, nan, 176.7603)"
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 177.7795)","(180.0, 0.0, 144.522)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 136.6847)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8497)","(180.0, nan, 176.7603)"
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 177.7795)","(180.0, 0.0, 144.4853)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 136.6847)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8497)","(180.0, nan, 176.7603)"
